Job Title,Company,Location,Skills
Bonds trader,"Morgan, White and Macdonald","Port Coryton, AE","Python, SQL, Excel"
Editorial assistant,Robinson-Fitzpatrick,"Amyborough, AA","Python, SQL, Excel"
Photographer,"Waters, Wilson and Hoover","Reynoldsville, AA","Python, SQL, Excel"
Retail banker,Hill LLC,"Port Billy, AP","Python, SQL, Excel"
Jewellery designer,Li-Gregory,"Adamburgh, AA","Python, SQL, Excel"
Ophthalmologist,"Fisher, Ryan and Coleman","Wilsonmouth, AA","Python, SQL, Excel"
"Back-End Web Developer (Python, Django)",Stewart-Alexander,"South Kimberly, AA","Python, SQL, Excel"
Licensed conveyancer,Abbott and Sons,"Benjaminland, AP","Python, SQL, Excel"
Futures trader,"Bryant, Santana and Davenport","Zacharyport, AA","Python, SQL, Excel"
Counselling psychologist,Smith PLC,"Port Devonville, AE","Python, SQL, Excel"
Insurance underwriter,Patterson-Singh,"East Thomas, AE","Python, SQL, Excel"
"Engineer, automotive",Martinez-Berry,"New Jeffrey, AP","Python, SQL, Excel"
"Producer, radio","May, Taylor and Fisher","Davidside, AA","Python, SQL, Excel"
Dispensing optician,"Bailey, Owen and Thompson","Jamesville, AA","Python, SQL, Excel"
"Designer, fashion/clothing",Vasquez Ltd,"New Kelly, AP","Python, SQL, Excel"
Chartered loss adjuster,Leblanc LLC,"Lake Antonio, AA","Python, SQL, Excel"
"Back-End Web Developer (Python, Django)","Jackson, Ali and Mckee","New Elizabethside, AA","Python, SQL, Excel"
Forest/woodland manager,"Blankenship, Knight and Powell","Millsbury, AE","Python, SQL, Excel"
Clinical cytogeneticist,"Patton, Haynes and Jones","Lloydton, AP","Python, SQL, Excel"
Print production planner,Wood Inc,"Port Jeremy, AA","Python, SQL, Excel"
Systems developer,Collins Group,"New Elizabethtown, AA","Python, SQL, Excel"
Graphic designer,Flores-Nelson,"Charlesstad, AE","Python, SQL, Excel"
Writer,"Mitchell, Jones and Olson","Josephbury, AE","Python, SQL, Excel"
Field seismologist,Howard Group,"Seanfurt, AA","Python, SQL, Excel"
Chief Strategy Officer,Kramer-Edwards,"Williambury, AA","Python, SQL, Excel"
Air cabin crew,Berry-Houston,"South Jorgeside, AP","Python, SQL, Excel"
Python Programmer (Entry-Level),Mathews Inc,"Robertborough, AP","Python, SQL, Excel"
Warden/ranger,Riley-Johnson,"South Saratown, AP","Python, SQL, Excel"
Sports therapist,Spencer and Sons,"Hullview, AA","Python, SQL, Excel"
Arts development officer,Camacho-Sanchez,"Philipland, AP","Python, SQL, Excel"
Printmaker,Oliver and Sons,"North Patty, AE","Python, SQL, Excel"
Health and safety adviser,Eaton PLC,"North Stephen, AE","Python, SQL, Excel"
Manufacturing systems engineer,Stanley-Frederick,"Stevensland, AP","Python, SQL, Excel"
"Programmer, applications",Bradley LLC,"Reyesstad, AE","Python, SQL, Excel"
Medical physicist,"Parker, Goodwin and Zavala","Bellberg, AP","Python, SQL, Excel"
Media planner,Kim-Miles,"North Johnland, AE","Python, SQL, Excel"
Software Developer (Python),Moreno-Rodriguez,"Martinezburgh, AE","Python, SQL, Excel"
"Surveyor, land/geomatics",Brown-Ortiz,"Joshuatown, AE","Python, SQL, Excel"
Legal executive,Hartman PLC,"West Ericstad, AA","Python, SQL, Excel"
"Librarian, academic",Brooks Inc,"Tuckertown, AE","Python, SQL, Excel"
Barrister,Washington-Castillo,"Perezton, AE","Python, SQL, Excel"
Museum/gallery exhibitions officer,"Nguyen, Yoder and Petty","Lake Abigail, AE","Python, SQL, Excel"
"Radiographer, diagnostic",Holder LLC,"Jacobshire, AP","Python, SQL, Excel"
Database administrator,Yates-Ferguson,"Port Susan, AE","Python, SQL, Excel"
Furniture designer,Ortega-Lawrence,"North Tiffany, AA","Python, SQL, Excel"
Ship broker,"Fuentes, Walls and Castro","Michelleville, AP","Python, SQL, Excel"
